Best Params: {'colsample_bytree': 0.8, 'is_unbalance': True, 'learning_rate': 0.01, 'max_depth': 3, 'min_split_gain': 0, 'n_estimators': 700, 'reg_lambda': 0, 'subsample': 0.9}
Best CV Score: 0.3067

{'colsample_bytree': 0.8, 'is_unbalance': True, 'learning_rate': 0.01, 'max_depth': 3, 'min_split_gain': 0.1, 'n_estimators': 300, 'reg_lambda': 0, 'subsample': 0.9} → 0.2886 ± 0.0034
{'colsample_bytree': 0.8, 'is_unbalance': True, 'learning_rate': 0.01, 'max_depth': 3, 'min_split_gain': 0.1, 'n_estimators': 300, 'reg_lambda': 1, 'subsample': 0.9} → 0.2878 ± 0.0034
{'colsample_bytree': 0.8, 'is_unbalance': True, 'learning_rate': 0.01, 'max_depth': 3, 'min_split_gain': 0.1, 'n_estimators': 300, 'reg_lambda': 3, 'subsample': 0.9} → 0.2883 ± 0.0036
{'colsample_bytree': 0.8, 'is_unbalance': True, 'learning_rate': 0.01, 'max_depth': 3, 'min_split_gain': 0.1, 'n_estimators': 500, 'reg_lambda': 0, 'subsample': 0.9} → 0.3061 ± 0.0010
{'colsample_bytree': 0.8, 'is_unbalance': True, 'learning_rate': 0.01, 'max_depth': 3, 'min_split_gain': 0.1, 'n_estimators': 500, 'reg_lambda': 1, 'subsample': 0.9} → 0.3056 ± 0.0007
{'colsample_bytree': 0.8, 'is_unbalance': True, 'learning_rate': 0.01, 'max_depth': 3, 'min_split_gain': 0.1, 'n_estimators': 500, 'reg_lambda': 3, 'subsample': 0.9} → 0.3054 ± 0.0012
{'colsample_bytree': 0.8, 'is_unbalance': True, 'learning_rate': 0.01, 'max_depth': 3, 'min_split_gain': 0.1, 'n_estimators': 700, 'reg_lambda': 0, 'subsample': 0.9} → 0.3064 ± 0.0009
{'colsample_bytree': 0.8, 'is_unbalance': True, 'learning_rate': 0.01, 'max_depth': 3, 'min_split_gain': 0.1, 'n_estimators': 700, 'reg_lambda': 1, 'subsample': 0.9} → 0.3059 ± 0.0017
{'colsample_bytree': 0.8, 'is_unbalance': True, 'learning_rate': 0.01, 'max_depth': 3, 'min_split_gain': 0.1, 'n_estimators': 700, 'reg_lambda': 3, 'subsample': 0.9} → 0.3059 ± 0.0020
{'colsample_bytree': 0.8, 'is_unbalance': True, 'learning_rate': 0.01, 'max_depth': 3, 'min_split_gain': 0, 'n_estimators': 300, 'reg_lambda': 0, 'subsample': 0.9} → 0.2884 ± 0.0027
{'colsample_bytree': 0.8, 'is_unbalance': True, 'learning_rate': 0.01, 'max_depth': 3, 'min_split_gain': 0, 'n_estimators': 300, 'reg_lambda': 1, 'subsample': 0.9} → 0.2882 ± 0.0032
{'colsample_bytree': 0.8, 'is_unbalance': True, 'learning_rate': 0.01, 'max_depth': 3, 'min_split_gain': 0, 'n_estimators': 300, 'reg_lambda': 3, 'subsample': 0.9} → 0.2881 ± 0.0033
{'colsample_bytree': 0.8, 'is_unbalance': True, 'learning_rate': 0.01, 'max_depth': 3, 'min_split_gain': 0, 'n_estimators': 500, 'reg_lambda': 0, 'subsample': 0.9} → 0.3060 ± 0.0004
{'colsample_bytree': 0.8, 'is_unbalance': True, 'learning_rate': 0.01, 'max_depth': 3, 'min_split_gain': 0, 'n_estimators': 500, 'reg_lambda': 1, 'subsample': 0.9} → 0.3051 ± 0.0008
{'colsample_bytree': 0.8, 'is_unbalance': True, 'learning_rate': 0.01, 'max_depth': 3, 'min_split_gain': 0, 'n_estimators': 500, 'reg_lambda': 3, 'subsample': 0.9} → 0.3051 ± 0.0008
{'colsample_bytree': 0.8, 'is_unbalance': True, 'learning_rate': 0.01, 'max_depth': 3, 'min_split_gain': 0, 'n_estimators': 700, 'reg_lambda': 0, 'subsample': 0.9} → 0.3067 ± 0.0009
{'colsample_bytree': 0.8, 'is_unbalance': True, 'learning_rate': 0.01, 'max_depth': 3, 'min_split_gain': 0, 'n_estimators': 700, 'reg_lambda': 1, 'subsample': 0.9} → 0.3061 ± 0.0017
{'colsample_bytree': 0.8, 'is_unbalance': True, 'learning_rate': 0.01, 'max_depth': 3, 'min_split_gain': 0, 'n_estimators': 700, 'reg_lambda': 3, 'subsample': 0.9} → 0.3057 ± 0.0011
{'colsample_bytree': 0.8, 'is_unbalance': True, 'learning_rate': 0.01, 'max_depth': 5, 'min_split_gain': 0.1, 'n_estimators': 300, 'reg_lambda': 0, 'subsample': 0.9} → 0.2826 ± 0.0028
{'colsample_bytree': 0.8, 'is_unbalance': True, 'learning_rate': 0.01, 'max_depth': 5, 'min_split_gain': 0.1, 'n_estimators': 300, 'reg_lambda': 1, 'subsample': 0.9} → 0.2812 ± 0.0027
{'colsample_bytree': 0.8, 'is_unbalance': True, 'learning_rate': 0.01, 'max_depth': 5, 'min_split_gain': 0.1, 'n_estimators': 300, 'reg_lambda': 3, 'subsample': 0.9} → 0.2806 ± 0.0033
{'colsample_bytree': 0.8, 'is_unbalance': True, 'learning_rate': 0.01, 'max_depth': 5, 'min_split_gain': 0.1, 'n_estimators': 500, 'reg_lambda': 0, 'subsample': 0.9} → 0.2965 ± 0.0003
{'colsample_bytree': 0.8, 'is_unbalance': True, 'learning_rate': 0.01, 'max_depth': 5, 'min_split_gain': 0.1, 'n_estimators': 500, 'reg_lambda': 1, 'subsample': 0.9} → 0.2972 ± 0.0010
{'colsample_bytree': 0.8, 'is_unbalance': True, 'learning_rate': 0.01, 'max_depth': 5, 'min_split_gain': 0.1, 'n_estimators': 500, 'reg_lambda': 3, 'subsample': 0.9} → 0.2963 ± 0.0003
{'colsample_bytree': 0.8, 'is_unbalance': True, 'learning_rate': 0.01, 'max_depth': 5, 'min_split_gain': 0.1, 'n_estimators': 700, 'reg_lambda': 0, 'subsample': 0.9} → 0.2955 ± 0.0025
{'colsample_bytree': 0.8, 'is_unbalance': True, 'learning_rate': 0.01, 'max_depth': 5, 'min_split_gain': 0.1, 'n_estimators': 700, 'reg_lambda': 1, 'subsample': 0.9} → 0.2955 ± 0.0020
{'colsample_bytree': 0.8, 'is_unbalance': True, 'learning_rate': 0.01, 'max_depth': 5, 'min_split_gain': 0.1, 'n_estimators': 700, 'reg_lambda': 3, 'subsample': 0.9} → 0.2961 ± 0.0016
{'colsample_bytree': 0.8, 'is_unbalance': True, 'learning_rate': 0.01, 'max_depth': 5, 'min_split_gain': 0, 'n_estimators': 300, 'reg_lambda': 0, 'subsample': 0.9} → 0.2820 ± 0.0037
{'colsample_bytree': 0.8, 'is_unbalance': True, 'learning_rate': 0.01, 'max_depth': 5, 'min_split_gain': 0, 'n_estimators': 300, 'reg_lambda': 1, 'subsample': 0.9} → 0.2820 ± 0.0027
{'colsample_bytree': 0.8, 'is_unbalance': True, 'learning_rate': 0.01, 'max_depth': 5, 'min_split_gain': 0, 'n_estimators': 300, 'reg_lambda': 3, 'subsample': 0.9} → 0.2813 ± 0.0028
{'colsample_bytree': 0.8, 'is_unbalance': True, 'learning_rate': 0.01, 'max_depth': 5, 'min_split_gain': 0, 'n_estimators': 500, 'reg_lambda': 0, 'subsample': 0.9} → 0.2961 ± 0.0013
{'colsample_bytree': 0.8, 'is_unbalance': True, 'learning_rate': 0.01, 'max_depth': 5, 'min_split_gain': 0, 'n_estimators': 500, 'reg_lambda': 1, 'subsample': 0.9} → 0.2975 ± 0.0010
{'colsample_bytree': 0.8, 'is_unbalance': True, 'learning_rate': 0.01, 'max_depth': 5, 'min_split_gain': 0, 'n_estimators': 500, 'reg_lambda': 3, 'subsample': 0.9} → 0.2971 ± 0.0005
{'colsample_bytree': 0.8, 'is_unbalance': True, 'learning_rate': 0.01, 'max_depth': 5, 'min_split_gain': 0, 'n_estimators': 700, 'reg_lambda': 0, 'subsample': 0.9} → 0.2948 ± 0.0019
{'colsample_bytree': 0.8, 'is_unbalance': True, 'learning_rate': 0.01, 'max_depth': 5, 'min_split_gain': 0, 'n_estimators': 700, 'reg_lambda': 1, 'subsample': 0.9} → 0.2955 ± 0.0016
{'colsample_bytree': 0.8, 'is_unbalance': True, 'learning_rate': 0.01, 'max_depth': 5, 'min_split_gain': 0, 'n_estimators': 700, 'reg_lambda': 3, 'subsample': 0.9} → 0.2966 ± 0.0015
{'colsample_bytree': 0.8, 'is_unbalance': True, 'learning_rate': 0.01, 'max_depth': 7, 'min_split_gain': 0.1, 'n_estimators': 300, 'reg_lambda': 0, 'subsample': 0.9} → 0.2818 ± 0.0017
{'colsample_bytree': 0.8, 'is_unbalance': True, 'learning_rate': 0.01, 'max_depth': 7, 'min_split_gain': 0.1, 'n_estimators': 300, 'reg_lambda': 1, 'subsample': 0.9} → 0.2818 ± 0.0025
