Best Params: {'colsample_bytree': 0.8, 'gamma': 0.2, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'reg_lambda': 0, 'scale_pos_weight': 10.82941976696043, 'subsample': 0.9}
Best CV Score: 0.3088

{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 300, 'reg_lambda': 0, 'scale_pos_weight': 10.82941976696043, 'subsample': 0.9} → 0.2956 ± 0.0019
{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 300, 'reg_lambda': 1, 'scale_pos_weight': 10.82941976696043, 'subsample': 0.9} → 0.2920 ± 0.0003
{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 500, 'reg_lambda': 0, 'scale_pos_weight': 10.82941976696043, 'subsample': 0.9} → 0.2868 ± 0.0014
{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 500, 'reg_lambda': 1, 'scale_pos_weight': 10.82941976696043, 'subsample': 0.9} → 0.2842 ± 0.0021
{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 700, 'reg_lambda': 0, 'scale_pos_weight': 10.82941976696043, 'subsample': 0.9} → 0.2785 ± 0.0027
{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 700, 'reg_lambda': 1, 'scale_pos_weight': 10.82941976696043, 'subsample': 0.9} → 0.2779 ± 0.0017
{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 300, 'reg_lambda': 0, 'scale_pos_weight': 10.82941976696043, 'subsample': 0.9} → 0.2780 ± 0.0010
{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 300, 'reg_lambda': 1, 'scale_pos_weight': 10.82941976696043, 'subsample': 0.9} → 0.2802 ± 0.0009
{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 500, 'reg_lambda': 0, 'scale_pos_weight': 10.82941976696043, 'subsample': 0.9} → 0.2615 ± 0.0003
{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 500, 'reg_lambda': 1, 'scale_pos_weight': 10.82941976696043, 'subsample': 0.9} → 0.2633 ± 0.0020
{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 700, 'reg_lambda': 0, 'scale_pos_weight': 10.82941976696043, 'subsample': 0.9} → 0.2499 ± 0.0030
{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 700, 'reg_lambda': 1, 'scale_pos_weight': 10.82941976696043, 'subsample': 0.9} → 0.2530 ± 0.0009
{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 300, 'reg_lambda': 0, 'scale_pos_weight': 10.82941976696043, 'subsample': 0.9} → 0.2556 ± 0.0030
